brand,category,sku,spu,product
G2G,素颜霜,G2G-20903N,润色霜,GLAD2GLOW 柔焦裸肌潤色霜03N 30g
TP,唇部,TCC102017,黑管染唇液,染唇液17
TP,定妆喷雾,TDW106000,定妝噴霧,哑面定妆喷雾
SKT,面霜,SKINTIFIC-90,美白面霜,美白面霜-80g
TP,面部,TGG107001,雙頭修容棒,双头修容棒01
SKT,气垫,SKINTIFIC-2491W,光泽白气垫,光泽气垫01W
TP,唇部,TCC140006,水霧唇釉,水雾唇釉006
G2G,卸妆油,G2G-201,積雪草卸妝油,积雪草卸妆油100ML
G2G,其他/赠品,盲袋條碼,ggbaby盲袋,贈品-G2G毛絨水果掛件盲袋
SKT,气垫,SKINTIFIC-2490W,光泽白气垫,光泽气垫00W
TP,唇部,TCP133006,多用唇泥,多用唇泥罐006
SKT,洁面,SKINTIFIC-413,5X卸妆水,5X卸妆水400ml
SKT,面霜,SKINTIFIC-05(2入),5X面霜,【SKINTIFIC】神經醯胺保濕霜30g(2入組)
SKT,其他/赠品,SKINTIFIC-295,依克多因舒缓洁颜蜜,依克多因舒缓洁颜蜜80ml
TP,唇部,TCC104008,紫管絲絨,丝绒唇釉08
TP,唇部,TCC138011,琉璃亮面唇漆,亮面唇漆 011
TP,唇部,TCC140001,水霧唇釉,水雾唇釉001
TP,唇部,TCC102403,黑管染唇液,染唇液003
TP,唇部,TCC108007,3D水光嘟嘟,3D嘟嘟唇彩 007
TP,唇部,TCC108012,3D水光嘟嘟,3D嘟嘟唇彩 012
SKT,气垫,SKINTIFIC-273,無暇金氣墊替換芯,金色气垫03-替
TP,唇部,TCP133011,多用唇泥,多用唇泥罐011
TP,唇部,TCC108003,3D水光嘟嘟,3D嘟嘟唇彩 003
SKT,面膜,SKINTIFIC-08,艾草泥膜,艾草泥膜
SKT,气垫,SKINTIFIC-1893,柔霧控油藍氣墊替換芯,哑光蓝色气垫替换芯-03 11g
TP,唇部,TCC138001,琉璃亮面唇漆,亮面唇漆 001
TP,唇部,TCC102018,黑管染唇液,染唇液18
TP,唇部,TCP133002,多用唇泥,多用唇泥罐002
SKT,洁面,SKINTIFIC-411,美白卸妆水,美白卸妆水400ml
G2G,气垫,G2G-23NW系列,完美氣墊粉底完美小粉盒,【GLAD2GLOW】完美氣墊粉底11g (多色可選)
TP,眼部,TYX109002,單頭眼線液筆,单头眼线液笔02
G2G,洗面奶,g2g-34,藍莓洗面乳,蓝莓洁面70ml
SKT,气垫,SKINTIFIC-2492N,光泽白气垫,光泽气垫02N
G2G,唇部精华,G2G-211嘟嘟唇系列(2入),嘟嘟唇部精華,【GLAD2GLOW】嘟嘟水潤護唇精華7g 2入組(多色可選)
TP,面部,TGG107002,雙頭修容棒,双头修容棒02
TP,唇部,TCC140009,水霧唇釉,水雾唇釉009
SKT,其他/赠品,SKINTIFIC-57,潔顏蜜,SKINTIFIC潔顏蜜80ml
TP,唇部,TCC138009,琉璃亮面唇漆,亮面唇漆 009
TP,唇部,TCC138006,琉璃亮面唇漆,亮面唇漆 006
TP,面部,TSH119003,液體腮紅,液体腮红03
TP,唇部,TCP133008,多用唇泥,多用唇泥罐008
TP,唇部,TCC104042,紫管絲絨,丝绒唇釉002
TP,唇部,TCC140014,水霧唇釉,水雾唇釉014
SKT,气垫,SKINTIFIC-2492W,光泽白气垫,光泽气垫02W
TP,唇部,TCC104044,紫管絲絨,丝绒唇釉004
TP,唇部,TCP133010,多用唇泥,多用唇泥罐010
TP,唇部,TCC104009,紫管絲絨,丝绒唇釉09
TP,唇部,TCC104043,紫管絲絨,丝绒唇釉003
SKT,气垫,SKINTIFIC-1343N,柔霧控油藍氣墊,哑光气垫03N
TP,唇部,TCC108010,3D水光嘟嘟,3D嘟嘟唇彩 010
TP,唇部,TCC140002,水霧唇釉,水雾唇釉002
TP,唇部,TCP133013,多用唇泥,多用唇泥罐013
SKT,气垫,SKINTIFIC-1343W,柔霧控油藍氣墊,哑光气垫03W
SKT,洁面,SKINTIFIC-01,5X洗面奶,SKINTIFIC 5X神經醯胺洗面乳80ml
TP,唇部,TCC138012,琉璃亮面唇漆,亮面唇漆 012
G2G,洗面奶,G2G-251,火山洗面奶,火山泥洁面乳70ml
SKT,洁面,SKINTIFIC-44,烟酰胺美白洗面奶,SKINTIFIC菸醯胺亮白洗面乳80ml
SKT,唇部精华,SKINTIFIC-123唇部系列,唇部精华,【SKINTIFIC】亮采潤澤唇部精華 (多色)
TP,唇部,TCC102014,黑管染唇液,染唇液14
TP,唇部,TCP133012,多用唇泥,多用唇泥罐012
TP,唇部,TCP133005,多用唇泥,多用唇泥罐005
SKT,面霜,SKINTIFIC-298(2入),5X面霜清爽版,【SKINTIFIC】神經醯胺保濕霜-清爽型30g(2入組)
TP,唇部,TCC140013,水霧唇釉,水雾唇釉013
TP,唇部,TCC140016,水霧唇釉,水雾唇釉016
TP,面部,TFB12201N,遮瑕粉饼,磨皮遮瑕粉饼01N
SKT,面霜,SKINTIFIC-105,啵啵霜,啵啵霜30g
SKT,面霜,SKINTIFIC-17102W,有色面霜,有色面霜02W
SKT,面霜,SKINTIFIC-1710NW系列,潤色霜,【SKINTIFIC】柔霧濾鏡潤色霜 28g (多色)
TP,唇部,TCC104001,紫管絲絨,丝绒唇釉01
TP,唇部,TCC108011,3D水光嘟嘟,3D嘟嘟唇彩 011
SKT,其他/赠品,SKINTIFIC-2463,定妆散粉,定妆散粉03
SKT,其他/赠品,SKINTIFIC-246蜜粉系列,柔霧定妝蜜粉,【SKINTIFIC】柔霧定妝蜜粉 10g (多色)
SKT,其他/赠品,SKINTIFIC-2463A,定妆散粉,定妆散粉03A
TP,唇部,TCC104005,紫管絲絨,丝绒唇釉05
TP,面部,TSH119002,液體腮紅,液体腮红02
TP,唇部,TCC102003,黑管染唇液,染唇液03
TP,唇部,TCC123001,銀管不沾杯唇釉,0感哑光不沾杯唇釉001
TP,唇部,TCC140015,水霧唇釉,水雾唇釉015
G2G,气垫,G2G-27303N,水光氣墊小銀盒,銀色氣墊03N
TP,唇部,TCC140007,水霧唇釉,水雾唇釉007
SKT,气垫,SKINTIFIC-27系列(金氣墊補充),無暇金氣墊替換芯,【SKINTIFIC】無暇氣墊粉底液11g (替換裝)多色
SKT,精华,SKINTIFIC-170(2入),唇部精华,【SKINTIFIC】亮膚精華噴霧100ml*2入
TP,唇部,TCC104003,紫管絲絨,丝绒唇釉03
TP,面部,TFB12200N,遮瑕粉饼,磨皮遮瑕粉饼00N
TP,唇部,TCC102020,黑管染唇液,染唇液20
TP,面部,TSH119005,液體腮紅,液体腮红05
SKT,面霜,修復套組(s05+s13),5X神經醯胺保濕組 (保濕霜+保濕精華),【SKINTIFIC】5X神經醯胺保濕組 (保濕霜+保濕精華)
TP,唇部,TCC102002,黑管染唇液,染唇液02
TP,唇部,TCC102404,黑管染唇液,染唇液004
TP,唇部,TCC123002,銀管不沾杯唇釉,0感哑光不沾杯唇釉002
G2G,面霜,G2G-306,B5修复霜,B5修复面霜30ml
TP,唇部,TCC104002,紫管絲絨,丝绒唇釉02
TP,唇部,TCC123004,銀管不沾杯唇釉,0感哑光不沾杯唇釉004
TP,唇部,TCC102004,黑管染唇液,染唇液04
TP,唇部,TCC104041,紫管絲絨,丝绒唇釉001
SKT,气垫,SKINTIFIC-249NW系列,光泽白气垫,【SKINTIFIC】光澤氣墊(多色)11g
TP,唇部,TCC104007,紫管絲絨,丝绒唇釉07
TP,唇部,TCC104012,紫管絲絨,丝绒唇釉12
G2G,气垫,G2G-27304N,水光氣墊小銀盒,銀色氣墊04N
G2G,粉饼,G2G-80系列,絲絨粉餅,【GLAD2GLOW】絲絨粉餅8.5g (多色可選)
TP,唇部,TCC102022,黑管染唇液,染唇液22
TP,面部,TFB12202N,遮瑕粉饼,磨皮遮瑕粉饼02N
SKT,面霜,SKINTIFIC-28,5X面霜,5X面霜小样-6g
G2G,面霜,G2G-3061,B5修复霜,B5修复面霜50ml
TP,唇部,TCC102021,黑管染唇液,染唇液21
SKT,面霜,SKINTIFIC-351(2入),PDRN面霜,【SKINTIFIC】PDRN面霜雙入組
SKT,精华,SKINTIFIC-86,修護精華,SKINTIFIC修護精華20ml
TP,唇部,TCC123003,銀管不沾杯唇釉,0感哑光不沾杯唇釉003
TP,眼部,TMB110002,自動眉筆,自动眉笔02深棕色
TP,唇部,TCC102019,黑管染唇液,染唇液19
TP,唇部,TCC102015,黑管染唇液,染唇液15
TP,唇部,TCC123005,銀管不沾杯唇釉,0感哑光不沾杯唇釉005
TP,面部,TGG107003,雙頭修容棒,双头修容棒03
TP,唇部,TCC102005,黑管染唇液,染唇液05
TP,唇部,TCC102013,黑管染唇液,染唇液13
TP,眼部,TMB110004,自動眉筆,自动眉笔04深灰
TP,面部,TSH119007,液體腮紅,液体腮红07
SKT,面霜,PDRN組(s351+s347),PDRN亮白柔嫩組(保濕霜30g+保濕精華20ml),【SKINTIFIC】PDRN亮白柔嫩組(保濕霜30g+保濕精華20ml)
SKT,面膜,泥膜棒組(S77+S65+S147),泥膜棒組(艾草+火山泥+菸鹼醯胺粉),【SKINTIFIC】泥膜棒組(艾草+火山泥+菸鹼醯胺粉)
TP,唇部,TCC102023,黑管染唇液,染唇液23
SKT,唇部精华,唇部精華(2入),唇部精华,【SKINTIFIC】亮采潤澤唇部精華 2入任選
TP,唇部,TCC104004,紫管絲絨,丝绒唇釉04
TP,唇部,TCC104006,紫管絲絨,丝绒唇釉06
SKT,爽肤水,SKINTIFIC-161(2入),定妝噴霧,【SKINTIFIC】啞光柔霧定妝噴霧2入組
G2G,套组,G2G-23NW系列+G2G-80系列,氣墊+粉餅,【GLAD2GLOW】全天持久底妝組合 (完美氣墊粉底+絲絨粉餅)
SKT,面霜,SKINTIFIC-91,美白面霜,美白面霜小样6g
TP,唇部,TCC102026,黑管染唇液,染唇液26
TP,唇部,TCC102027,黑管染唇液,染唇液27
SKT,面霜,視黃醇保養組(s180+s183),視黃醇保養組 (精華+面霜),【SKINTIFIC】視黃醇保養組 (精華+面霜)
SKT,防晒,SKINTIFIC-64(3入),戶外防曬噴霧,【SKINTIFIC】5x戶外防曬噴霧250ml (超值3入組)
G2G,其他/赠品,8.81E+12,ggbaby盲袋,GLAD2GLOW 毛絨水果掛件盲袋
TP,唇部,TCC104011,紫管絲絨,丝绒唇釉11
SKT,面膜,未對照-300983,SKINTIFIC艾草固體泥膜棒40g(試用品),SKINTIFIC艾草固體泥膜棒40g(試用品)
SKT,防晒,SKINTIFIC-212(3入),水晶防曬噴霧,【SKINTIFIC】水晶防曬噴霧 70ml(3入組)
G2G,爽肤水,G2G-104,红石榴化妆水,GLAD2GLOW 紅石榴化妝水80ml
TP,唇部,TCP133003,多用唇泥,多用唇泥罐003
SKT,面膜,SKINTIFIC-40,清洁泥膜,清洁泥膜
SKT,精华,未對照-303640,SKINTIFIC菸醯胺亮白精華20ml(試用品),SKINTIFIC菸醯胺亮白精華20ml(試用品)
SKT,其他/赠品,亮白肌膚加強組(s17+s39),【SKINTIFIC】亮白肌膚加強組,【SKINTIFIC】亮白肌膚加強組
SKT,精华,未對照-300981,SKINTIFIC神經醯胺修復精華20ml(試用品),SKINTIFIC神經醯胺修復精華20ml(試用品)
SKT,防晒,未對照-308131,SKINTIFIC啞光防曬霜50g SPF50+ PA++++(試用品),SKINTIFIC啞光防曬霜50g SPF50+ PA++++(試用品)
G2G,套组,G2G-165Y,,GLAD2GLOW 紅石榴美白套組
