"brand","month","sku","product","quantity","channel"
"G2G","2026-01","G2G-1941","GLAD2GLOW 2合1完美氣墊粉餅11ml+8g-01","559","POYA"
"G2G","2026-01","G2G-1942","GLAD2GLOW 2合1完美氣墊粉餅11ml+8g-02","341","POYA"
"G2G","2026-01","G2G-202","GLAD2GLOW 積雪草卸妝油200ml","149","Watsons"
"G2G","2026-01","G2G-208","GLAD2GLOW 亮顏霜30ml","171","Watsons"
"G2G","2026-01","G2G-2111","GLAD2GLOW嘟嘟水潤護唇精華01草莓紅7g","920","POYA"
"G2G","2026-01","G2G-2112","GLAD2GLOW嘟嘟水潤護唇精華02蜜桃橘7g","303","POYA"
"G2G","2026-01","G2G-2113","GLAD2GLOW嘟嘟水潤護唇精華03葡萄紫7g","938","POYA"
"G2G","2026-01","G2G-2114","GLAD2GLOW嘟嘟水潤護唇精華04透明色7g","810","POYA"
"G2G","2026-01","G2G-212","GLAD2GLOW 完美VC洗面乳80g","100","Watsons"
"G2G","2026-01","G2G-214","GLAD2GLOW 完美VC精華17ml","195","Watsons"
"G2G","2026-01","G2G-215","GLAD2GLOW 完美VC保濕霜30g","151","Watsons"
"G2G","2026-01","G2G-230N","GLAD2GLOW完美氣墊粉底11g-00N","1300","POYA"
"G2G","2026-01","G2G-231N","GLAD2GLOW完美氣墊粉底11g-01N","2300","POYA"
"G2G","2026-01","G2G-231W","GLAD2GLOW完美氣墊粉底11g-01W","1970","POYA"
"G2G","2026-01","G2G-232N","GLAD2GLOW完美氣墊粉底11g-02N","1689","POYA"
"G2G","2026-01","G2G-232W","GLAD2GLOW完美氣墊粉底11g-02W","968","POYA"
"G2G","2026-01","G2G-233N","GLAD2GLOW完美氣墊粉底11g-03N","806","POYA"
"G2G","2026-01","G2G-234N","GLAD2GLOW完美氣墊粉底11g-04N","443","POYA"
"G2G","2026-01","G2G-248","GLAD2GLOW 紅石榴透亮保濕面霜100g","228","Watsons"
"G2G","2026-01","G2G-249","GLAD2GLOW 藍莓保濕面霜100g","71","Watsons"
"G2G","2026-01","G2G-250","GLAD2GLOW 視黃醇面霜100g","85","Watsons"
"G2G","2026-01","G2G-26","GLAD2GLOW淨透377柚光精華17ml","382","POYA"
"G2G","2026-01","G2G-27","GLAD2GLOW火山泥潔淨泥膜棒25g","931","POYA"
"G2G","2026-01","G2G-29","GLAD2GLOW紅石榴透亮保濕面霜30g","5703","POYA"
"G2G","2026-01","G2G-31","GLAD2GLOW艾草淨膚泥膜棒25g","834","POYA"
